save,car_name,move,rad,x,y,speed,point,status,l2,l1,m,r1,r2,max_leng_sensor,count
1,car1,0,3.14,25,15,0,1,1,346,600,2000,599,346,2000,0
1,car1,8,2.79,22.98,25.83,2,1,1,498,1843,818,365,284,2000,1
1,car1,8,3.14,22.98,31.97,3,1,1,369,640,2000,559,323,2000,2
1,car1,8,3.49,25.12,37.83,4,1,1,303,390,873,1734,468,2000,3
1,car1,8,3.64,28.1,43.35,5,1,1,269,315,564,2000,632,2000,4
1,car1,0,3.14,25,15,0,1,1,346,600,2000,599,346,2000,0
