save,car_name,move,rad,x,y,speed,point,status,l2,l1,m,r1,r2,max_leng_sensor,count
1,car1,8,2.85,7.78,88.62,13,2,1,686,2000,447,175,131,2000,256
1,car1,8,3.2,8.16,94.9,14,2,1,523,850,2000,294,157,2000,257
1,car1,8,3.44,10.01,100.93,15,2,1,461,614,1534,669,220,2000,258
1,car1,8,3.09,9.68,107.22,16,2,1,540,996,2000,269,164,2000,259
1,car1,8,3.13,9.58,113.52,17,3,1,529,935,2000,283,166,2000,260
1,car1,8,3.14,25,15,0,1,1,346,600,2000,599,346,2000,261
1,car1,8,3.49,26.81,19.97,1,1,1,286,368,824,1831,494,2000,262
